PSGC,REGION,PROVINCE_FIRE_DISTRICT,CONGRESSIONAL_DISTRICT,CITY_MUNICIPALITY,YEAR,INCIDENTS,INJURIES,DEATHS,ESTIMATED_DAMAGES
104322000,10,MISAMIS ORIENTAL,1ST,SALAY,2015,5,0,0,4625000.0
104322000,10,MISAMIS ORIENTAL,1ST,SALAY,2016,19,0,0,88500.0
104323000,10,MISAMIS ORIENTAL,1ST,SUGBONGCOGON,2012,0,0,0,0.0
104323000,10,MISAMIS ORIENTAL,1ST,SUGBONGCOGON,2013,0,0,0,0.0
104323000,10,MISAMIS ORIENTAL,1ST,SUGBONGCOGON,2014,1,0,0,50000.0
104323000,10,MISAMIS ORIENTAL,1ST,SUGBONGCOGON,2015,0,0,0,0.0
104323000,10,MISAMIS ORIENTAL,1ST,SUGBONGCOGON,2016,0,0,0,0.0
104324000,10,MISAMIS ORIENTAL,2ND,TAGOLOAN,2012,5,1,0,11125000.0
104324000,10,MISAMIS ORIENTAL,2ND,TAGOLOAN,2013,12,0,1,1694000.0
104324000,10,MISAMIS ORIENTAL,2ND,TAGOLOAN,2014,3,0,0,600200.0
104324000,10,MISAMIS ORIENTAL,2ND,TAGOLOAN,2015,3,0,0,96000.0
104324000,10,MISAMIS ORIENTAL,2ND,TAGOLOAN,2016,44,0,1,3108800.0
104325000,10,MISAMIS ORIENTAL,1ST,TALISAYAN,2012,2,0,0,58000.0
104325000,10,MISAMIS ORIENTAL,1ST,TALISAYAN,2013,1,0,0,150000.0
104325000,10,MISAMIS ORIENTAL,1ST,TALISAYAN,2014,0,0,0,0.0
104325000,10,MISAMIS ORIENTAL,1ST,TALISAYAN,2015,1,0,0,8000.0
104325000,10,MISAMIS ORIENTAL,1ST,TALISAYAN,2016,4,0,0,86000.0
104326000,10,MISAMIS ORIENTAL,2ND,VILLANUEVA,2012,4,1,1,696000.0
104326000,10,MISAMIS ORIENTAL,2ND,VILLANUEVA,2013,1,0,0,2000.0
104326000,10,MISAMIS ORIENTAL,2ND,VILLANUEVA,2014,0,0,0,0.0
104326000,10,MISAMIS ORIENTAL,2ND,VILLANUEVA,2015,4,0,0,115000.0
104326000,10,MISAMIS ORIENTAL,2ND,VILLANUEVA,2016,0,0,0,0.0
118201000,11,COMPOSTELA VALLEY,1ST,COMPOSTELA,2012,1,0,0,30000.0
118201000,11,COMPOSTELA VALLEY,1ST,COMPOSTELA,2013,10,0,0,6143187.0
118201000,11,COMPOSTELA VALLEY,1ST,COMPOSTELA,2014,19,0,0,4792000.0
118201000,11,COMPOSTELA VALLEY,1ST,COMPOSTELA,2015,12,2,0,6170300.0
118201000,11,COMPOSTELA VALLEY,1ST,COMPOSTELA,2016,6,0,0,830000.0
118202000,11,COMPOSTELA VALLEY,2ND,LAAK (SAN VICENTE),2012,0,0,0,0.0
118202000,11,COMPOSTELA VALLEY,2ND,LAAK (SAN VICENTE),2013,6,0,0,445000.0
118202000,11,COMPOSTELA VALLEY,2ND,LAAK (SAN VICENTE),2014,2,0,0,140000.0
118202000,11,COMPOSTELA VALLEY,2ND,LAAK (SAN VICENTE),2015,3,1,0,45000.0
118202000,11,COMPOSTELA VALLEY,2ND,LAAK (SAN VICENTE),2016,3,0,0,203606.0
118203000,11,COMPOSTELA VALLEY,2ND,MABINI (DOãA ALICIA),2012,4,0,0,1910000.0
118203000,11,COMPOSTELA VALLEY,2ND,MABINI (DOãA ALICIA),2013,4,0,0,250000.0
118203000,11,COMPOSTELA VALLEY,2ND,MABINI (DOãA ALICIA),2014,0,0,0,0.0
118203000,11,COMPOSTELA VALLEY,2ND,MABINI (DOãA ALICIA),2015,6,0,0,4646000.0
118203000,11,COMPOSTELA VALLEY,2ND,MABINI (DOãA ALICIA),2016,1,0,0,400000.0
118204000,11,COMPOSTELA VALLEY,2ND,MACO,2012,4,1,0,1030000.0
118204000,11,COMPOSTELA VALLEY,2ND,MACO,2013,4,1,0,2990000.0
118204000,11,COMPOSTELA VALLEY,2ND,MACO,2015,4,0,0,16040000.0
118204000,11,COMPOSTELA VALLEY,2ND,MACO,2016,5,0,0,1420000.0
118205000,11,COMPOSTELA VALLEY,1ST,MARAGUSAN (SAN MARIANO),2012,5,0,2,4149000.0
118205000,11,COMPOSTELA VALLEY,1ST,MARAGUSAN (SAN MARIANO),2013,6,0,0,789700.0
118205000,11,COMPOSTELA VALLEY,1ST,MARAGUSAN (SAN MARIANO),2014,1,0,0,1950000.0
118205000,11,COMPOSTELA VALLEY,1ST,MARAGUSAN (SAN MARIANO),2015,2,0,0,2289800.0
118205000,11,COMPOSTELA VALLEY,1ST,MARAGUSAN (SAN MARIANO),2016,7,1,0,895000.0
118206000,11,COMPOSTELA VALLEY,2ND,MAWAB,2012,0,0,0,0.0
118206000,11,COMPOSTELA VALLEY,2ND,MAWAB,2013,0,0,0,0.0
118206000,11,COMPOSTELA VALLEY,2ND,MAWAB,2014,0,0,0,0.0
118206000,11,COMPOSTELA VALLEY,2ND,MAWAB,2015,0,0,0,0.0
118206000,11,COMPOSTELA VALLEY,2ND,MAWAB,2016,8,0,0,1261000.0
118207000,11,COMPOSTELA VALLEY,1ST,MONKAYO,2012,7,0,0,1626000.0
118207000,11,COMPOSTELA VALLEY,1ST,MONKAYO,2013,7,0,0,1530000.0
118207000,11,COMPOSTELA VALLEY,1ST,MONKAYO,2014,6,0,0,6130000.0
118207000,11,COMPOSTELA VALLEY,1ST,MONKAYO,2015,5,0,0,385000.0
118207000,11,COMPOSTELA VALLEY,1ST,MONKAYO,2016,10,0,0,5200000.0
118208000,11,COMPOSTELA VALLEY,1ST,MONTEVISTA,2012,1,0,0,500000.0
118208000,11,COMPOSTELA VALLEY,1ST,MONTEVISTA,2013,3,0,0,560000.0
118208000,11,COMPOSTELA VALLEY,1ST,MONTEVISTA,2014,4,0,0,310000.0
118208000,11,COMPOSTELA VALLEY,1ST,MONTEVISTA,2015,4,0,0,145000.0
118208000,11,COMPOSTELA VALLEY,1ST,MONTEVISTA,2016,4,1,0,605000.0
118209000,11,COMPOSTELA VALLEY,2ND,NABUNTURAN (CAPITAL),2012,9,2,1,8160000.0
118209000,11,COMPOSTELA VALLEY,2ND,NABUNTURAN (CAPITAL),2013,4,0,0,780000.0
